k ɨ t u	s ɨ t u
k a n ɨ	s a n ɨ
k a ts a r ɨ	k a ts a r ɨ
s i j u	s i j u
ts e r ɨ	ts e r ɨ
t a	t a
h ɨ p ɨ n a	ɨ p ɨ n a
h a p ɨ k ɨ r ɨ	h a p ɨ k ɨ r ɨ
k e n ɨ	k e n ɨ
h a k a	h o k a
h i t i t i	h i t i t i
k a p a	k e p a
s t u k a i	a t u k a ts i
ts o p a t a	ts o p a t a
k a j u k ɨ r ɨ	k a j u k ɨ r ɨ
p i k a	p i k a
p a t a	p a t a
r ɨ	r ɨ
h i r i	k i r i
ts ɨ n i a	ts ɨ n ɨ
a t u k ɨ r ɨ	a t u k ɨ r ɨ
h a m e	h a m e
k a j a t ɨ	k a j a t ɨ
a u ɨ r ɨ	h ɨ w ɨ
k u t a r ɨ	s u t a r ɨ
h a n i j u	h a n i j u
h i p a k a	h ɨ w a k a
a k ɨ r o	a k ɨ r o
h ɨ t ɨ	h ɨ t ɨ
k e m a	k e m a
h i r a r ɨ	h i r a r ɨ
p a r u	p a r u
h u m a	h u m a
n a k ɨ	n a k ɨ
p a t u	p o t u
ɨ n ɨ r u	ɨ n ɨ r u
h i t a p u	t a p u
k u ts i	k u ts i
s ɨ ts o	s ɨ t i o
k ɨ p ɨ	k ɨ w ɨ
r o	r o
n i k a	n i k a
ɨ r ɨ	h ɨ r ɨ
p u r ɨ	p u r ɨ
ts u r u	t u r u
k u n a	k u n a
k a n a a a	k a n a w a
e u k a	e r o k a
p u r u	p u r u
r o	r o
j a k a	j a k a
t a i i	t a
p ɨ r a	p ɨ r a
h u r i	h a
s i i a p o t u	p o t u
s i k i	s i
t i k a	t i k a
p u p ɨ r i	p u p e r i
t a k a	t a k a
p a t e	p a t e
m a p a	m a p a
k a ts u p a r ɨ	k a ts u p a r ɨ
ɨ m ɨ k a	ɨ m a k a
ɨ h ɨ k n ɨ	ɨ k ɨ n ɨ
j a n a	j a n a
n u	n u
k a p e t a	k a p e t a
p ɨ n a	p ɨ n a
p i n i	p i n i
ts i k u t ɨ	ts i k u t ɨ
n a m a	n a m a
t u m a	t u m a
k a	k a
ts a	ts a
h a n o i	h a n o
k a ts i n u	k a ts i n u
k a a s r i	k a s i r i
p u t ɨ	p u t ɨ
k u n o h a	k u n u h a
t a h ɨ	t a k ɨ
k a r a	w a r a
a k a p a	a k a p a
n a k a	n a k a
k ɨ p a	s ɨ w a
h a a h m ɨ n a	m ɨ n a
k u t a	k u t a
n e n ɨ	n e n ɨ
k a t a t u	k a t a t u
k i m e k a	k i m e k a
s i k a	s i k a
h i m a t u ɨ ɨ	h i m a t u k ɨ
h a p u k a	a p u k a
k e n a k o	k e n a
h i p i	s i
m a n e	m a n e
h a p ɨ	h a p ɨ
m e k ɨ	m e k ɨ
p i	p i
p a p a	p a w a
p e k i r i	p e k i r i
m u j u	m u j u
k a	k a
p a n a	p a n a
h i p e t ɨ	h i p e t ɨ
k ɨ p ɨ r ɨ	s ɨ p ɨ r ɨ
t u k a n a	t u k a n ə
ts i k a r e	tʃ i k a r e
e t i i a	e t a
p a t ɨ	p a t ɨ
m a k a r a	m a k a r a
r a p ɨ k a	r a p ɨ
j u k i	j u k i
k u m a r ɨ	k u m a r ɨ
h i ts u	h i ts u
j u k a n a	j u k a n a
k ɨ p a r ɨ	k ɨ p a r ɨ
k i t i	k i t i
p o ts ɨ j a	p o ts e j a
m a p i t i r i	m a p i ts i r i
k a k ɨ t ɨ	k a k ɨ t ɨ
h a t i n ɨ	h a t ɨ n ɨ
m e k a n i	m e k a n i
h e r a h a	h ɨ r a
s i m a	s i m a
m i s i r i	m ɨ s i
h u p a n a	h u p a n a
k e m a	k e m a
e p ɨ r o	e p ɨ
a n i k a	a n i k a
a p a	a p a
p o	p o
h u n ɨ	h u n ɨ
k a s ɨ r ɨ	k a s ɨ r ɨ
h a k ɨ	h a k ɨ
m a n ɨ	m a n a h i
s a t u k a	s a t u k a
t ɨ r ɨ	t ɨ r ɨ
ɨ n a	ɨ n a
s i p e j u r ɨ	s i w e j u r ɨ
t a	t a
n a n ɨ	n a n ɨ
p u r i	p u r i
a ɨ a	a w a
p i t i	p i t i
k a m a r a	k a m a r a
p ɨ m a r ɨ	p ɨ m a r ɨ
e p ɨ r ɨ	e p ɨ
k ɨ s i	k ɨ s i
n a t u	n a t u
n a ts i	n a ts i
h i n a	h i n a
j a ts i	j a ts i
h o k ɨ	h o k ɨ
h ɨ m e n ɨ	h ɨ m e n ɨ
h ɨ p u k a	h ɨ p u
h u r u t ɨ	h u r u t ɨ
ts i n a	ts i n a
k i p a	k i p a
k u ts a	k u ts a
